,IDcensus,census_city,state,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,citystate,state_id,lat,lng
327,528,Lake Elsinore,California,53627,55078,56044,57711,60111,61955,63807,66066,68051,69283,"Lake Elsinore, California",CA,33.6847,-117.3344
328,396,Lake Forest,California,77552,78299,78727,79112,79678,81964,83019,83878,85381,85531,"Lake Forest, California",CA,33.6606,-117.6712
329,683,Lake Havasu City,Arizona,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865,"Lake Havasu City, Arizona",AZ,34.5006,-114.3113
330,263,Lakeland,Florida,97640,98834,99000,100326,102034,103550,105837,107712,110421,112136,"Lakeland, Florida",FL,28.0556,-81.9545
331,551,Lakeville,Minnesota,56161,56711,57471,58697,59976,60791,61997,63677,65778,67317,"Lakeville, Minnesota",MN,44.6774,-93.25200000000001
332,441,Lakewood,California,80079,80413,80672,80883,80927,80951,80895,80510,79907,79307,"Lakewood, California",CA,33.8471,-118.1221
333,162,Lakewood,Colorado,142759,144087,145396,146878,149434,152052,154039,154966,156682,157935,"Lakewood, Colorado",CO,39.6977,-105.1168
334,784,Lakewood,Ohio,52026,51662,51400,51257,51088,50811,50528,50211,50012,49678,"Lakewood, Ohio",OH,41.4824,-81.8008
335,615,Lakewood,Washington,57600,57945,58110,58144,58580,58885,59747,60316,60511,61037,"Lakewood, Washington",WA,47.1628,-122.5299
336,163,Lancaster,California,156824,158078,158253,159055,159634,159813,159633,159434,158622,157601,"Lancaster, California",CA,34.6935,-118.1753
337,644,Lancaster,Pennsylvania,59277,59417,59406,59397,59411,59446,59486,59494,59407,59265,"Lancaster, Pennsylvania",PA,40.0421,-76.3012
338,240,Lansing,Michigan,114321,114559,114661,114734,115093,115324,116569,117730,117931,118210,"Lansing, Michigan",MI,42.7142,-84.5601
339,79,Laredo,Texas,236807,241195,245728,249602,252734,255271,257862,259324,260856,262491,"Laredo, Texas",TX,27.5629,-99.4875
340,400,Largo,Florida,79372,79480,79738,80422,80852,81903,84088,84686,84937,84948,"Largo, Florida",FL,27.9088,-82.7711
341,300,Las Cruces,New Mexico,98284,100212,101045,101238,101192,101113,101313,101963,102812,103432,"Las Cruces, New Mexico",NM,32.3265,-106.7892
342,27,Las Vegas,Nevada,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319,"Las Vegas, Nevada",NV,36.2333,-115.2654
343,505,Lauderhill,Florida,67084,68246,69012,69531,70110,70901,71474,71915,71924,71868,"Lauderhill, Florida",FL,26.1605,-80.2242
344,324,Lawrence,Kansas,88232,89301,90118,91348,92881,94207,95655,96637,97187,98193,"Lawrence, Kansas",KS,38.9597,-95.2641
345,435,Lawrence,Massachusetts,76551,77260,77910,78382,79182,79699,79818,80003,80112,80028,"Lawrence, Massachusetts",MA,42.7003,-71.1626
346,355,Lawton,Oklahoma,97849,98208,98415,96977,96660,95965,94117,94009,92945,93025,"Lawton, Oklahoma",OK,34.6176,-98.4203
347,453,Layton,Utah,67813,68479,68899,70978,72360,73929,75482,76447,77181,78014,"Layton, Utah",UT,41.0769,-111.9621
348,286,League City,Texas,84096,86278,88242,90790,94121,97860,101669,104442,106005,107536,"League City, Texas",TX,29.4873,-95.1087
349,603,Leander,Texas,27709,29120,30636,32774,35280,39019,43788,49792,55924,62608,"Leander, Texas",TX,30.5728,-97.8618
350,317,Lee's Summit,Missouri,91526,91920,92376,92968,93727,94871,96034,97169,98522,99357,"Lee's Summit, Missouri",MO,38.9172,-94.3816
351,523,Lehi,Utah,48170,49677,51385,55089,57000,59034,61690,63674,65958,69724,"Lehi, Utah",UT,40.4136,-111.8726
352,690,Lenexa,Kansas,48292,48865,49351,50279,50924,52430,53028,53557,55349,55625,"Lenexa, Kansas",KS,38.9609,-94.8018
353,280,Lewisville,Texas,95930,97636,99703,101156,102963,103956,105030,106439,106938,109212,"Lewisville, Texas",TX,33.0452,-96.9823
354,68,Lincoln,Nebraska,259455,262690,265861,269129,274128,277345,281339,284527,286930,289102,"Lincoln, Nebraska",NE,40.809,-96.6788
355,734,Little Elm,Texas,26197,27709,29023,32916,35493,38438,42661,45988,49644,53126,"Little Elm, Texas",TX,33.1856,-96.929
356,126,Little Rock,Arkansas,193972,195292,196564,197143,197595,198178,198631,198314,197484,197312,"Little Rock, Arkansas",AR,34.7256,-92.3576
357,370,Livermore,California,81599,82589,83831,85448,87017,88248,89572,90137,90253,90189,"Livermore, California",CA,37.6862,-121.7608
358,351,Livonia,Michigan,96627,96142,95921,95239,95229,94843,94507,94237,94019,93665,"Livonia, Michigan",MI,42.3972,-83.3733
359,545,Lodi,California,62253,62741,63048,63128,63620,64264,64578,65715,67003,67586,"Lodi, California",CA,38.1218,-121.2932
360,756,Logan,Utah,48448,49041,49094,49057,49048,49769,50621,51019,51334,51542,"Logan, Utah",UT,41.74,-111.8419
361,43,Long Beach,California,462431,464512,466873,468000,469109,470128,468719,466646,465865,462628,"Long Beach, California",CA,33.7981,-118.1675
362,326,Longmont,Colorado,86440,87691,88903,90221,90623,92280,93269,94637,96536,97261,"Longmont, Colorado",CO,40.1686,-105.1005
363,423,Longview,Texas,80565,81024,81190,81249,81253,81717,81378,80980,81191,81631,"Longview, Texas",TX,32.5193,-94.7621
364,595,Lorain,Ohio,64076,63940,63756,63735,63773,63662,63729,63774,63984,63855,"Lorain, Ohio",OH,41.4409,-82.184
365,2,Los Angeles,California,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576,"Los Angeles, California",CA,34.1139,-118.4068
366,445,Loveland,Colorado,67157,69321,70384,71337,72514,74886,76399,76880,77752,78877,"Loveland, Colorado",CO,40.4166,-105.0623
367,269,Lowell,Massachusetts,106782,107774,108803,109757,110537,111142,111226,111738,111362,110997,"Lowell, Massachusetts",MA,42.6389,-71.3217
368,83,Lubbock,Texas,231105,233928,236361,239708,244350,247950,251387,254432,256469,258862,"Lubbock, Texas",TX,33.5659,-101.8878
369,420,Lynchburg,Virginia,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168,"Lynchburg, Virginia",VA,37.4003,-79.1909
370,348,Lynn,Massachusetts,90532,90709,91437,92025,92565,93057,93185,93915,94336,94299,"Lynn, Massachusetts",MA,42.4779,-70.9663
371,522,Lynwood,California,69595,69661,70576,71146,71193,71397,70979,70685,70285,69887,"Lynwood, California",CA,33.924,-118.2017
372,568,Madera,California,61603,61907,62382,62749,63230,63690,64187,64941,65440,65860,"Madera, California",CA,36.9631,-120.0782
373,753,Madison,Alabama,43556,44304,45189,45929,46636,47170,48158,49207,50491,51593,"Madison, Alabama",AL,34.7114,-86.7626
374,82,Madison,Wisconsin,233730,236908,239880,243233,245848,248788,252677,255786,257854,259680,"Madison, Wisconsin",WI,43.0826,-89.3931
375,624,Malden,Massachusetts,59691,60131,60591,60938,61217,61383,61276,61079,60735,60470,"Malden, Massachusetts",MA,42.4305,-71.0576
376,261,Manchester,New Hampshire,109613,110281,110888,111008,111198,111275,111903,112235,112492,112673,"Manchester, New Hampshire",NH,42.9848,-71.4447
377,711,Manhattan,Kansas,52526,54148,56597,56101,55685,56513,55241,55124,54983,54604,"Manhattan, Kansas",KS,39.1886,-96.6046
378,499,Mansfield,Texas,57088,58331,59682,61228,62605,64705,66253,68841,70796,72419,"Mansfield, Texas",TX,32.569,-97.1211
379,417,Manteca,California,67733,69244,70884,71761,73157,75088,76831,79079,81603,83028,"Manteca, California",CA,37.7927,-121.2264
380,495,Maple Grove,Minnesota,61778,63196,64504,65442,66966,68405,69678,70812,71711,72622,"Maple Grove, Minnesota",MN,45.1089,-93.4626
381,651,Margate,Florida,53242,54190,54820,55256,55664,56741,57832,58200,58495,58796,"Margate, Florida",FL,26.2466,-80.2119
382,751,Maricopa,Arizona,43686,43866,44030,44814,45543,46109,46914,48002,50028,52127,"Maricopa, Arizona",AZ,33.0404,-112.0006
383,618,Marietta,Georgia,56708,57348,58167,58819,59547,59845,60679,60679,60647,60867,"Marietta, Georgia",GA,33.9533,-84.5422
384,518,Marysville,Washington,60193,61243,62297,63135,64919,66558,67586,68897,69606,70298,"Marysville, Washington",WA,48.0809,-122.1561
385,185,McAllen,Texas,132093,134639,136277,137421,138719,139909,141888,142249,142530,143268,"McAllen, Texas",TX,26.2273,-98.2471
386,121,McKinney,Texas,132934,137928,143510,149207,157143,163612,173577,182104,191748,199177,"McKinney, Texas",TX,33.2015,-96.6669
387,676,Medford,Massachusetts,56400,56824,57255,57399,57551,57792,57820,57772,57554,57341,"Medford, Massachusetts",MA,42.4234,-71.1087
388,415,Medford,Oregon,75043,75617,76153,76840,77763,78990,80174,81191,82333,83072,"Medford, Oregon",OR,42.3372,-122.8537
389,416,Melbourne,Florida,76363,76537,76854,77393,78276,79323,80656,81822,82603,83029,"Melbourne, Florida",FL,28.1085,-80.6627
390,28,Memphis,Tennessee,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073,"Memphis, Tennessee",TN,35.1046,-89.9773
391,341,Menifee,California,77929,79665,81026,83045,84522,86411,88057,90104,92249,94756,"Menifee, California",CA,33.6909,-117.1849
392,412,Merced,California,79131,79705,80231,80703,81120,81775,82232,82589,83113,83676,"Merced, California",CA,37.3057,-120.4778
393,639,Meriden,Connecticut,60832,60699,60672,60491,60384,60063,59708,59646,59566,59395,"Meriden, Connecticut",CT,41.5367,-72.7944
394,257,Meridian,Idaho,77428,79723,82125,85086,89174,92144,96227,100539,106464,114161,"Meridian, Idaho",ID,43.6112,-116.3968
395,35,Mesa,Arizona,440993,447681,456968,464803,473132,481811,490695,500021,507945,518012,"Mesa, Arizona",AZ,33.4017,-111.71799999999999
396,193,Mesquite,Texas,139963,141520,143365,143604,144508,144988,144681,144218,142520,140937,"Mesquite, Texas",TX,32.7623,-96.5889
397,773,Methuen Town,Massachusetts,47445,47798,48129,48706,49384,49797,49953,50308,50565,50706,"Methuen Town, Massachusetts",MA,42.733999999999995,-71.1889
398,376,Miami Beach,Florida,87722,88713,89566,90152,90184,90570,90652,90642,89808,88885,"Miami Beach, Florida",FL,25.8171,-80.1396
399,275,Miami Gardens,Florida,107516,108859,110056,110842,110943,111561,111884,112220,111144,110001,"Miami Gardens, Florida",FL,25.9433,-80.2426
400,42,Miami,Florida,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963,"Miami, Florida",FL,25.7839,-80.2102
401,179,Midland,Texas,111276,113941,119794,124163,128352,133440,134935,136205,142173,146038,"Midland, Texas",TX,32.0249,-102.1137
402,675,Midwest City,Oklahoma,54586,55386,56232,56835,57095,57289,57417,57165,57186,57407,"Midwest City, Oklahoma",OK,35.463,-97.3709
403,408,Milpitas,California,66729,67124,68862,69944,73560,77485,77829,77874,80208,84196,"Milpitas, California",CA,37.4339,-121.8921
404,31,Milwaukee,Wisconsin,594865,597086,598569,599916,600664,600477,596996,593725,591375,590157,"Milwaukee, Wisconsin",WI,43.0642,-87.9673
405,46,Minneapolis,Minnesota,383067,388052,392768,400070,407067,411030,415079,420925,424903,429606,"Minneapolis, Minnesota",MN,44.9635,-93.2678
406,718,Minnetonka,Minnesota,49796,50646,51232,51437,51555,51739,52447,52910,53883,54064,"Minnetonka, Minnesota",MN,44.9322,-93.4598
407,191,Miramar,Florida,122300,125059,128697,130120,134494,136476,138964,140215,140564,141191,"Miramar, Florida",FL,25.9773,-80.3351
408,775,Mishawaka,Indiana,48203,48106,48045,48111,48260,48279,48814,48984,49810,50363,"Mishawaka, Indiana",IN,41.6736,-86.1669
409,346,Mission Viejo,California,93225,94020,94627,96003,96622,96543,96149,95551,94925,94381,"Mission Viejo, California",CA,33.6095,-117.655
410,407,Mission,Texas,78118,79728,80920,81486,82167,82823,83257,83576,83958,84331,"Mission, Texas",TX,26.2041,-98.3251
